Wall time,Step,Value
1677999611.1923306,0,1.3775992393493652
1677999746.6260169,1,0.9979607462882996
1677999872.792264,2,0.8326789736747742
1678000005.4143975,3,0.7251875400543213
1678000121.7794733,4,0.6964468359947205
1678000247.17423,5,0.6501386165618896
1678000384.4305346,6,0.5866791009902954
1678000534.8294961,7,0.5863140225410461
1678000675.4300153,8,0.5569483041763306
1678000806.9715526,9,0.5201208591461182
1678000941.3599153,10,0.48612362146377563
1678001071.9985726,11,0.45282214879989624
1678001205.7319622,12,0.4972049593925476
1678001327.509872,13,0.4627170264720917
1678001452.53171,14,0.3991146981716156
1678001570.0250533,15,0.43245673179626465
1678001682.9297762,16,0.39181044697761536
1678001795.337135,17,0.39922213554382324
1678001914.6790454,18,0.4279126822948456
1678002037.4185133,19,0.3631971776485443
1678002157.8062544,20,0.37429699301719666
1678002283.0978642,21,0.3613855242729187
1678002392.868018,22,0.34345847368240356
1678002502.451701,23,0.34538593888282776
1678002625.2375517,24,0.3497669994831085
1678002739.4845066,25,0.34216010570526123
1678002869.2066092,26,0.35093697905540466
1678002981.240687,27,0.31893014907836914
1678003104.6866179,28,0.3195122480392456
1678003217.0239794,29,0.32518768310546875
1678003338.7357333,30,0.31000062823295593
1678003455.1990402,31,0.29024815559387207
1678003569.1525042,32,0.2929748594760895
1678003686.71023,33,0.28458893299102783
1678003805.0360703,34,0.28566837310791016
1678003922.6554878,35,0.29860639572143555
1678004036.280393,36,0.2957392632961273
1678004165.6137087,37,0.283204585313797
1678004304.8536048,38,0.297489196062088
1678004438.299183,39,0.29660290479660034
1678004569.229345,40,0.27624696493148804
1678004694.6823711,41,0.2702758312225342
1678004826.6675656,42,0.286588191986084
1678004950.674867,43,0.2729340195655823
1678005067.5353854,44,0.2585742473602295
1678005196.3062265,45,0.2517837882041931
1678005347.3732283,46,0.25500667095184326
1678005471.415013,47,0.27613234519958496
1678005588.6998367,48,0.23963113129138947
1678005716.1531878,49,0.24717240035533905
1679815015.1215503,50,0.22747108340263367
1679815140.6804385,51,0.23192748427391052
1679815271.4488175,52,0.24775737524032593
1679815375.8883648,53,0.2447361797094345
1679815515.4457366,54,0.24001796543598175
1679815634.659771,55,0.2402711808681488
1679815747.8557367,56,0.22212748229503632
1679815866.0466073,57,0.21557725965976715
1679815985.178681,58,0.21478158235549927
1679816109.8463125,59,0.21794527769088745
1679816247.6410975,60,0.22897633910179138
1679816388.5747101,61,0.21439604461193085
1679816511.8759997,62,0.224622905254364
1679816638.4860208,63,0.22438764572143555
1679816764.5902715,64,0.2603384256362915
1679816878.2519166,65,0.19698719680309296
1679816998.1832092,66,0.1920669674873352
1679817115.8218367,67,0.21377186477184296
1679817232.6461558,68,0.18925808370113373
1679817359.674957,69,0.19099420309066772
1679817481.4015021,70,0.19164226949214935
1679817605.0193572,71,0.19198903441429138
1679817721.1826766,72,0.1950409859418869
1679817832.1105502,73,0.20484857261180878
1679817964.811679,74,0.19655297696590424
1679818077.835238,75,0.17849189043045044
1679818209.5485723,76,0.2102481722831726
1679818327.3322911,77,0.2172570675611496
1679818441.080821,78,0.18077285587787628
1679818560.0324626,79,0.18717770278453827
1679818676.017507,80,0.18917901813983917
1679818787.1767027,81,0.18941450119018555
1679818899.523278,82,0.1782708317041397
1679819009.3074026,83,0.18264994025230408
1679819142.0353744,84,0.1741907298564911
1679819258.9145198,85,0.1752196103334427
1679819371.4672172,86,0.15630066394805908
1679819498.4709907,87,0.17188534140586853
1679819618.1297572,88,0.18633903563022614
1679819734.7441072,89,0.16247954964637756
1679819858.0090775,90,0.17915214598178864
1679819968.1225076,91,0.17429247498512268
1679820086.0567229,92,0.159650519490242
1679820207.1663451,93,0.1452004313468933
1679820335.717619,94,0.15923887491226196
1679820456.8474247,95,0.20485858619213104
1679820571.7879295,96,0.15279768407344818
1679820691.0230236,97,0.17713910341262817
1679820811.5935817,98,0.18071451783180237
1679820923.138812,99,0.1544685959815979
1679821044.5543725,100,0.15363365411758423
1679821152.5472083,101,0.1566784530878067
1679821260.8596244,102,0.16111545264720917
1679821378.4378142,103,0.1628778874874115
1679821497.5696948,104,0.14584767818450928
1679821607.1396012,105,0.1557794213294983
1679821724.5941753,106,0.14175380766391754
1679821851.365254,107,0.17803514003753662
1679821962.6667137,108,0.1522332727909088
1679822073.5694706,109,0.13262233138084412
1679822200.9371245,110,0.14546120166778564
1679822319.2996664,111,0.14985428750514984
1679822440.306122,112,0.15874972939491272
1679822551.8524666,113,0.16760331392288208
1679822669.6153038,114,0.16318468749523163
1679822774.9463532,115,0.13817323744297028
1679822896.7673593,116,0.14822407066822052
