Wall time,Step,Value
1679563592.079238,0,1.5633904933929443
1679563655.8821716,1,1.7532490491867065
1679563712.5837765,2,1.6528693437576294
1679563767.6825094,3,1.6067991256713867
1679563822.6890435,4,1.8170051574707031
1679563877.0029685,5,1.8075172901153564
1679563935.3385987,6,1.8655208349227905
1679563990.6189868,7,1.7271126508712769
1679564050.1316328,8,1.7288333177566528
1679564112.7162085,9,1.7133957147598267
1679564176.9103777,10,1.6945141553878784
1679564238.6589994,11,1.6453053951263428
1679564297.1738915,12,1.681046724319458
1679564359.4002314,13,1.707042932510376
1679564419.113203,14,1.6858062744140625
1679564480.2867947,15,1.7816766500473022
1679564540.2195454,16,1.6151432991027832
1679564598.8487692,17,1.5716001987457275
1679564661.1220722,18,1.6589137315750122
1679564736.82381,19,1.6896319389343262
1679564799.376691,20,1.6521369218826294
1679564861.2628582,21,1.6879119873046875
1679564920.0701432,22,1.6446164846420288
1679564983.3008487,23,1.570623755455017
1679565049.2664492,24,1.5883957147598267
1679565111.1303256,25,1.6829317808151245
1679565170.7942405,26,1.651789903640747
1679565231.5386868,27,1.5584136247634888
1679565287.7028105,28,1.5430991649627686
1679565350.0462282,29,1.5004498958587646
1679565414.8142936,30,1.6127582788467407
1679565473.3012629,31,1.579874038696289
1679565534.0989208,32,1.5551111698150635
1679565593.5032196,33,1.6327874660491943
1679565651.9199746,34,1.521474838256836
1679565713.4184735,35,1.5814248323440552
1679565776.4174542,36,1.572482705116272
1679565836.582229,37,1.4815394878387451
1679565895.9721198,38,1.4364429712295532
1679565955.74538,39,1.4685845375061035
1679566015.6548297,40,1.5698401927947998
1679566075.433485,41,1.51349675655365
1679566133.5181031,42,1.5355221033096313
1679566192.8636212,43,1.5263038873672485
1679566252.1337337,44,1.4528518915176392
1679566309.8736684,45,1.4955822229385376
1679566366.638486,46,1.359689474105835
1679566427.354813,47,1.5126625299453735
1679566487.3606594,48,1.5212764739990234
1679566543.8660607,49,1.3434048891067505
1679566601.6622465,50,1.4541807174682617
1679566662.4264028,51,1.4699393510818481
1679566718.03856,52,1.3855215311050415
1679566779.046138,53,1.4642188549041748
1679566834.7632859,54,1.5217268466949463
1679566892.5370054,55,1.360429286956787
1679566952.7615943,56,1.3885630369186401
1679567008.325159,57,1.4049001932144165
1679567063.5675287,58,1.3378021717071533
1679567122.1225653,59,1.386794924736023
1679567177.9026966,60,1.353872299194336
1679567235.2675009,61,1.3970829248428345
1679567290.444,62,1.3186196088790894
1679567347.135002,63,1.4917449951171875
1679567402.5593479,64,1.2420369386672974
1679567457.644954,65,1.3360590934753418
1679567514.5024014,66,1.3883410692214966
1679567574.497019,67,1.4187347888946533
1679567634.5037246,68,1.4172314405441284
1679567692.7572734,69,1.376223087310791
1679567748.9545646,70,1.3788241147994995
1679567806.9300745,71,1.4089865684509277
1679567862.3174605,72,1.238885760307312
1679567921.3106322,73,1.308110237121582
1679567978.7496393,74,1.313826322555542
1679568035.3374493,75,1.2799261808395386
1679568093.0470455,76,1.43069326877594
1679568152.8861988,77,1.2861201763153076
1679568207.0635986,78,1.159769892692566
1679568262.794389,79,1.2965948581695557
1679568325.1428463,80,1.3302981853485107
1679568379.3657124,81,1.271199107170105
1679568436.761339,82,1.2847265005111694
1679568492.9394135,83,1.2041834592819214
1679568551.3764613,84,1.2453551292419434
1679568606.6281588,85,1.2398568391799927
1679568662.1567233,86,1.3949882984161377
1679568718.01568,87,1.3339345455169678
1679568773.5287452,88,1.2896674871444702
1679568831.6730883,89,1.3001216650009155
1679568888.8597386,90,1.3782449960708618
1679568945.8963883,91,1.164021611213684
1679569002.4712913,92,1.2215996980667114
1679569063.6168885,93,1.2019524574279785
1679569121.2264724,94,1.2767809629440308
1679569178.0592656,95,1.2334216833114624
1679569236.3621447,96,1.1927263736724854
1679569295.4894738,97,1.2306556701660156
1679569354.452896,98,1.2986541986465454
1679569409.6795008,99,1.217914342880249
1679569467.261153,100,1.2943193912506104
1679569524.7536762,101,1.225988507270813
1679569582.8610911,102,1.289056658744812
1679569641.8784873,103,1.3768959045410156
1679569699.0679936,104,1.2088817358016968
1679569756.602508,105,1.2007176876068115
1679569814.4975533,106,1.3063933849334717
1679569870.9313643,107,1.1886794567108154
1679569928.0489526,108,1.1480944156646729
1679569985.6716568,109,1.2159935235977173
1679570042.1758778,110,1.4290438890457153
1679570099.4210637,111,1.2233753204345703
1679570155.988255,112,1.125204086303711
1679570214.6920612,113,1.1624590158462524
1679570273.3423092,114,1.203083872795105
1679570330.9539921,115,1.1257739067077637
1679570392.3546782,116,1.227885365486145
1679570452.0473185,117,1.2160124778747559
1679570509.2302752,118,1.2442235946655273
1679570564.4362605,119,1.174881935119629
1679570626.64451,120,1.240517497062683
1679570684.530172,121,1.1893291473388672
1679570741.2640448,122,1.1302770376205444
1679570803.4024591,123,1.229141116142273
1679570861.370834,124,1.0629520416259766
1679570916.7433982,125,1.2036008834838867
1679570973.9655323,126,1.1362746953964233
1679571030.4239278,127,1.2803955078125
1679571089.540565,128,1.0731234550476074
1679571150.0553436,129,1.250996470451355
1679571213.9054701,130,1.3242039680480957
1679571269.263638,131,1.2303354740142822
1679571324.7243433,132,1.247596025466919
1679571381.6315248,133,1.3017486333847046
1679571435.6417744,134,1.1544541120529175
1679571493.5998924,135,1.2536587715148926
1679571550.0871725,136,1.1734669208526611
1679571606.5320628,137,1.199276328086853
1679571666.7801635,138,1.2456010580062866
1679571723.0292106,139,1.118726134300232
1679571778.401195,140,1.1101645231246948
1679571834.261091,141,1.0926040410995483
1679571893.6912594,142,1.1198515892028809
1679571952.776642,143,1.2281700372695923
1679572011.3912902,144,1.1225547790527344
1679572071.0390632,145,1.2106119394302368
1679572124.455941,146,1.1791577339172363
1679572181.6572738,147,1.221381425857544
1679572236.906567,148,1.1799043416976929
1679572291.2934265,149,1.1164155006408691
1679572347.0623298,150,1.1026297807693481
1679572401.7679977,151,1.1679911613464355
1679572458.2317445,152,1.180090069770813
1679572512.2841134,153,1.1047624349594116
1679572567.4854755,154,1.1340423822402954
1679572621.5004714,155,1.0638118982315063
1679572675.6319823,156,1.1155266761779785
1679572734.117946,157,1.0654088258743286
1679572788.1826458,158,0.9595603942871094
1679572844.903773,159,1.1128586530685425
1679572899.4535096,160,1.0980104207992554
1679572955.4882326,161,1.1453100442886353
1679573008.3556998,162,1.161667823791504
1679573063.0649066,163,1.1934996843338013
1679573116.0237312,164,1.152477502822876
1679573171.2029684,165,1.1559981107711792
1679573230.1061196,166,1.1377272605895996
1679573284.2761505,167,1.192378282546997
1679573338.2739666,168,1.033904790878296
1679573395.6366858,169,1.1500294208526611
1679573448.1293304,170,1.059395432472229
1679573506.6793003,171,1.1410188674926758
1679573561.9890547,172,1.0971909761428833
1679573618.4370666,173,1.1245026588439941
1679573675.9537675,174,1.0857170820236206
1679573731.730723,175,1.0973896980285645
1679573787.5080843,176,1.0927255153656006
1679573842.1931236,177,1.0893354415893555
1679573897.6825562,178,1.2062880992889404
1679573953.1918545,179,1.0817087888717651
1679574008.3454552,180,1.11875581741333
1679574063.5074084,181,1.1132720708847046
1679574118.9893565,182,1.1098487377166748
1679574176.052276,183,1.128843069076538
1679574230.679611,184,1.1410201787948608
1679574285.9407876,185,1.1027380228042603
1679574343.89087,186,1.2049620151519775
1679574398.0176132,187,1.1156405210494995
1679574450.763885,188,1.0858001708984375
1679574508.3540578,189,1.229972243309021
1679574562.5952518,190,1.1545592546463013
1679574619.4522934,191,1.0469883680343628
1679574674.1178174,192,1.2009800672531128
1679574730.7948139,193,1.2138041257858276
1679574785.8385277,194,1.0408130884170532
1679574841.0251617,195,1.1210911273956299
1679574893.629761,196,1.0531256198883057
1679574950.9145288,197,1.1621071100234985
1679575005.770527,198,1.1334861516952515
1679575060.8383548,199,1.1701971292495728
1679575115.9500203,200,1.1209055185317993
1679575169.2671661,201,1.1378551721572876
1679575224.4734397,202,1.112228274345398
