Wall time,Step,Value
1679563592.0802376,0,0.05634603649377823
1679563655.8831716,1,0.08233796060085297
1679563712.5837765,2,0.06925568729639053
1679563767.6825094,3,0.06678226590156555
1679563822.6890435,4,0.10156162083148956
1679563877.0029685,5,0.12872815132141113
1679563935.3385987,6,0.15025150775909424
1679563990.6189868,7,0.12984918057918549
1679564050.1316328,8,0.10557565093040466
1679564112.7162085,9,0.10825639963150024
1679564176.9103777,10,0.12346849590539932
1679564238.6589994,11,0.10669214278459549
1679564297.1738915,12,0.11207511276006699
1679564359.4002314,13,0.09478512406349182
1679564419.113203,14,0.11395204812288284
1679564480.2867947,15,0.12333793938159943
1679564540.2195454,16,0.11426421254873276
1679564598.8487692,17,0.12519916892051697
1679564661.1220722,18,0.1273551881313324
1679564736.82381,19,0.17517949640750885
1679564799.376691,20,0.15246592462062836
1679564861.2628582,21,0.15379250049591064
1679564920.0701432,22,0.1615387350320816
1679564983.3008487,23,0.14793676137924194
1679565049.2664492,24,0.17950120568275452
1679565111.1303256,25,0.19774778187274933
1679565170.7942405,26,0.15491247177124023
1679565231.5386868,27,0.14880754053592682
1679565287.7028105,28,0.13088145852088928
1679565350.0462282,29,0.15206573903560638
1679565414.8142936,30,0.15957613289356232
1679565473.3012629,31,0.15215550363063812
1679565534.0989208,32,0.17859628796577454
1679565593.5032196,33,0.2190321385860443
1679565651.9199746,34,0.1568700075149536
1679565713.4184735,35,0.1645199954509735
1679565776.4174542,36,0.19067145884037018
1679565836.582229,37,0.17364372313022614
1679565895.9731658,38,0.17718279361724854
1679565955.74538,39,0.15781459212303162
1679566015.6558297,40,0.1679735630750656
1679566075.433485,41,0.171867236495018
1679566133.5181031,42,0.19492049515247345
1679566192.8636212,43,0.16913442313671112
1679566252.1337337,44,0.15559065341949463
1679566309.8736684,45,0.16164207458496094
1679566366.638486,46,0.14035572111606598
1679566427.354813,47,0.17553555965423584
1679566487.3606594,48,0.1767999529838562
1679566543.8660607,49,0.16671554744243622
1679566601.6622465,50,0.14857979118824005
1679566662.4264028,51,0.16717316210269928
1679566718.03856,52,0.15371164679527283
1679566779.046138,53,0.1532168984413147
1679566834.7642877,54,0.16635960340499878
1679566892.5370054,55,0.14731834828853607
1679566952.7615943,56,0.14234864711761475
1679567008.325159,57,0.14874929189682007
1679567063.5675287,58,0.19305919110774994
1679567122.1225653,59,0.172413170337677
1679567177.9026966,60,0.16143180429935455
1679567235.2675009,61,0.15248848497867584
1679567290.444,62,0.1601017713546753
1679567347.135002,63,0.1599297672510147
1679567402.5593479,64,0.14829586446285248
1679567457.644954,65,0.1795753538608551
1679567514.5024014,66,0.14404669404029846
